,ETS_Algeria,ETS_Azerbaijan,ETS_Iran,ETS_Libya,ETS_Norway,ETS_Russia,SeasonalNaive_Algeria,SeasonalNaive_Azerbaijan,SeasonalNaive_Iran,SeasonalNaive_Libya,SeasonalNaive_Norway,SeasonalNaive_Russia
2025-08-01,2735.401448365771,2103.1486084992407,884.0029519515092,70.41525488680284,11157.927573137817,3116.3098030088468,2834.6093580645156,1692.0781709677417,559.4879193548387,88.60413870967743,11208.42,3766.2788419354833
2025-09-01,2814.9962616677544,2232.709514026244,1005.3678086193942,104.87514801518198,9421.617387617769,3344.7950105345085,2091.2225966666665,2310.59327,601.2201866666667,75.01838333333333,8212.684,2855.7994166666667
2025-10-01,3265.2050663870846,2293.9650206047363,910.8517046221588,151.34765284845028,11885.783785210157,3248.468076440055,3291.3719999999994,2349.9915999999994,986.4744419354837,106.19606451612903,11836.228,2920.5489161290316
2025-11-01,3277.078937083348,2273.196036435907,1274.2235001396057,156.68721469267925,12478.351616528918,4381.477542078886,3449.8501733333333,2342.5974266666667,1004.6603566666665,158.92059999999998,12522.039999999999,4374.108896666667
2025-12-01,3466.5501351503754,2335.9093591317887,1233.684586604642,89.9382182862307,12813.726372852394,5285.749983075303,3011.4874096774192,2389.9443677419354,628.7590451612903,100.20759032258064,12467.448,4387.341348387096
2026-01-01,3190.0447877890165,2303.6636205849736,1013.0954503106615,62.19302047619347,12707.029509423293,3588.0050359295305,3180.003018825806,1856.7002903225805,211.77039354838706,47.81530185483871,12255.904,3167.2184838709677
2026-02-01,3154.6871943413307,2292.918872526013,931.1237057598042,62.91746621820583,12579.790589376069,3412.757215814928,3259.6758765964287,2132.653282142857,105.17887142857141,44.30610034642857,12201.312,3039.034992857143
2026-03-01,3044.669871005143,2341.438559729379,1101.7930199615153,122.23847256467805,12517.929287593095,4151.353840269958,3022.765554709677,2318.424290322581,638.9288612903225,171.496087216129,12201.312,2038.8596774193547
2026-04-01,2989.8778776929744,2270.7986320185,1082.791409349526,97.5872643213188,11869.383059818838,3756.476521417701,2999.231066495817,2240.89342,984.2828433333332,157.7984859533333,11870.348,2141.34389
2026-05-01,2827.735172957965,2220.2855745068096,1022.4567724356564,101.46232583876012,10855.753902953295,3269.7953880068007,2947.3313916548386,2264.881022580645,1038.1695838709677,123.17681409354837,10744.387999999999,1357.9727806451613
2026-06-01,2788.5521014931655,2247.4503839456406,907.0869844512706,62.16677674423233,10717.194494908366,2741.093582038223,2999.5415120433327,2356.2938266666665,941.7334,57.46176948333333,10580.612,1142.0620766666666
2026-07-01,2782.7420376748655,2307.8821538884677,978.265145005096,77.68049179213408,11756.681003486836,1936.1968675264989,2759.251711745161,2259.0724645161285,972.7791806451612,49.135335106451606,11880.583999999999,2116.129781172108
2026-08-01,2735.401448365771,2103.1486084992407,884.0029519515092,70.41525488680284,11157.927573137817,3116.3098030088468,2834.6093580645156,1692.0781709677417,559.4879193548387,88.60413870967743,11208.42,3766.2788419354833
2026-09-01,2814.9962616677544,2232.709514026244,1005.3678086193942,104.87514801518198,9421.617387617769,3344.7950105345085,2091.2225966666665,2310.59327,601.2201866666667,75.01838333333333,8212.684,2855.7994166666667
2026-10-01,3265.2050663870846,2293.9650206047363,910.8517046221588,151.34765284845028,11885.783785210157,3248.468076440055,3291.3719999999994,2349.9915999999994,986.4744419354837,106.19606451612903,11836.228,2920.5489161290316
2026-11-01,3277.078937083348,2273.196036435907,1274.2235001396057,156.68721469267925,12478.351616528918,4381.477542078886,3449.8501733333333,2342.5974266666667,1004.6603566666665,158.92059999999998,12522.039999999999,4374.108896666667
2026-12-01,3466.5501351503754,2335.9093591317887,1233.684586604642,89.9382182862307,12813.726372852394,5285.749983075303,3011.4874096774192,2389.9443677419354,628.7590451612903,100.20759032258064,12467.448,4387.341348387096
2027-01-01,3190.0447877890165,2303.6636205849736,1013.0954503106615,62.19302047619347,12707.029509423293,3588.0050359295305,3180.003018825806,1856.7002903225805,211.77039354838706,47.81530185483871,12255.904,3167.2184838709677
2027-02-01,3154.6871943413307,2292.918872526013,931.1237057598042,62.91746621820583,12579.790589376069,3412.757215814928,3259.6758765964287,2132.653282142857,105.17887142857141,44.30610034642857,12201.312,3039.034992857143
2027-03-01,3044.669871005143,2341.438559729379,1101.7930199615153,122.23847256467805,12517.929287593095,4151.353840269958,3022.765554709677,2318.424290322581,638.9288612903225,171.496087216129,12201.312,2038.8596774193547
2027-04-01,2989.8778776929744,2270.7986320185,1082.791409349526,97.5872643213188,11869.383059818838,3756.476521417701,2999.231066495817,2240.89342,984.2828433333332,157.7984859533333,11870.348,2141.34389
2027-05-01,2827.735172957965,2220.2855745068096,1022.4567724356564,101.46232583876012,10855.753902953295,3269.7953880068007,2947.3313916548386,2264.881022580645,1038.1695838709677,123.17681409354837,10744.387999999999,1357.9727806451613
2027-06-01,2788.5521014931655,2247.4503839456406,907.0869844512706,62.16677674423233,10717.194494908366,2741.093582038223,2999.5415120433327,2356.2938266666665,941.7334,57.46176948333333,10580.612,1142.0620766666666
2027-07-01,2782.7420376748655,2307.8821538884677,978.265145005096,77.68049179213408,11756.681003486836,1936.1968675264989,2759.251711745161,2259.0724645161285,972.7791806451612,49.135335106451606,11880.583999999999,2116.129781172108
2027-08-01,2735.401448365771,2103.1486084992407,884.0029519515092,70.41525488680284,11157.927573137817,3116.3098030088468,2834.6093580645156,1692.0781709677417,559.4879193548387,88.60413870967743,11208.42,3766.2788419354833
2027-09-01,2814.9962616677544,2232.709514026244,1005.3678086193942,104.87514801518198,9421.617387617769,3344.7950105345085,2091.2225966666665,2310.59327,601.2201866666667,75.01838333333333,8212.684,2855.7994166666667
2027-10-01,3265.2050663870846,2293.9650206047363,910.8517046221588,151.34765284845028,11885.783785210157,3248.468076440055,3291.3719999999994,2349.9915999999994,986.4744419354837,106.19606451612903,11836.228,2920.5489161290316
2027-11-01,3277.078937083348,2273.196036435907,1274.2235001396057,156.68721469267925,12478.351616528918,4381.477542078886,3449.8501733333333,2342.5974266666667,1004.6603566666665,158.92059999999998,12522.039999999999,4374.108896666667
2027-12-01,3466.5501351503754,2335.9093591317887,1233.684586604642,89.9382182862307,12813.726372852394,5285.749983075303,3011.4874096774192,2389.9443677419354,628.7590451612903,100.20759032258064,12467.448,4387.341348387096
